요양기관명,우편번호,주소,전화번호
서울우리들내과의원,2238,서울특별시 중랑구 면목로39길 8,02-491-7582
신대방성모내과의원,8701,서울특별시 관악구 난곡로 367 (신림동 경신빌딩),02-851-3997
고려가정의학과의원,1482,서울특별시 도봉구 우이천로4길 32 2층 (창동),02-995-6248
서울가정의학과의원,2803,서울특별시 성북구 종암로27길 13 302호 (종암동 도원프라자),02-953-8575
희락서울가정의학과의원,1631,서울특별시 노원구 수락산로 190 203호 (상계동 희락상가),02-937-1982
김성우내과의원,3331,서울특별시 은평구 연서로 219,02-355-2021
삼성열린내과의원,4953,서울특별시 광진구 용마산로 8 2층 (중곡동),02-456-8575
건강제일의원,1442,서울특별시 도봉구 도봉로 499 2호 (쌍문동),02-903-0099
삼성가정의학과의원,7045,서울특별시 동작구 성대로 76 2층 (상도동),02-824-8868
열린연세소아과의원,7946,서울특별시 양천구 목동중앙북로 3 (목동),02-2061-2109
연세노블의원,7269,서울특별시 영등포구 선유서로 117 2층 (양평동3가 월드프라자),02-2678-7582
서울내과의원,2037,서울특별시 중랑구 공릉로2길 8-4 3층 (묵동),02-976-7550
고려가정의학과의원,4071,서울특별시 마포구 독막로 10 3층 (합정동),02-333-3328
메디서울이비인후과의원,8247,서울특별시 구로구 고척로 123-1 2 3층 (개봉동),02-2619-3119
레이크가정의학과의원,5607,서울특별시 송파구 석촌호수로 135 레이크팰리스 상가A동 401호 (잠실동),02-412-1618
서울송내과의원,4546,서울특별시 중구 을지로 199-2 2층 (을지로4가),
나비석내과의원,1318,서울특별시 도봉구 마들로 859-19 206호 (도봉동 한신아파트 근린상가),02-956-7533
한양그린내과의원,3646,서울특별시 서대문구 통일로 413 204호 (홍제동 화인빌딩 ),02-379-3377
권내과의원,7237,서울특별시 영등포구 국회대로70길 22 201호 (여의도동 금강빌딩),
한마음가정의원,1868,서울특별시 노원구 초안산로5길 12 201호 (월계동 월계프라자),02-907-4002
아이파크몰의원,4377,서울특별시 용산구 한강대로23길 55 (한강로3가 용산민자역사),02-2012-2510
은내과의원,1415,서울특별시 도봉구 노해로 389 203호 (창동 제일빌딩),02-932-1974
참사랑가정의학과의원,5056,서울특별시 광진구 자양로15길 9 (자양동),02-2201-6663
지앤아이내과의원,4527,서울특별시 중구 통일로 10 1층 (남대문로5가 연세재단세브란스빌딩),
꿈나무소아청소년과의원,4143,서울특별시 마포구 마포대로 143 226호 (공덕동 마포공덕파크팰리스2),02-715-6215
이진우내과의원,8106,서울특별시 양천구 신정로 312 (신정동 뉴프라자),02-2692-6375
종로의원,3192,서울특별시 종로구 종로 128 (종로4가),02-2268-0035
우리가정의학과의원,3964,서울특별시 마포구 월드컵로25길 58 (망원동),
양전호내과의원,3330,서울특별시 은평구 통일로 863 2층 (갈현동),02-385-2600
서울삼성내과의원,3426,서울특별시 은평구 서오릉로 203 2층 (구산동),02-353-1011
고은가정의학과의원,5017,서울특별시 광진구 능동로13길 11 3층 (화양동),
권내과의원,1909,서울특별시 노원구 마들로 111 삼호종합상가 2층,02-972-8375
수연세재활의학과의원,3350,서울특별시 은평구 연서로 246 3층 (불광동),02-353-8275
예사랑의원,5305,서울특별시 강동구 구천면로 372 (천호동),02-478-6070
수내과의원,8548,서울특별시 금천구 남부순환로 1426 3층 (독산동),02-838-8381
강북삼성의원,1103,서울특별시 강북구 삼양로77가길 9 3층 (수유동),02-980-8767
중계우리들의원,1743,서울특별시 노원구 한글비석로 235 309호 (중계동 삼부프라자),02-931-8270
트리니티내과의원,4427,서울특별시 용산구 이촌로 224 (이촌동 리버뷰맨션),02-793-7127
굿모닝의원,7571,서울특별시 강서구 공항대로 437 2층 (등촌동),02-3663-3005
서울내과의원,8302,서울특별시 구로구 가마산로 268 대림역와이즈플레이스 2층 (구로동),02-830-8388
윤창옥내과의원,4554,서울특별시 중구 충무로 3 2층 (필동2가),02-2272-3303
제일성모가정의학과의원,3966,서울특별시 마포구 월드컵북로 137 3층 301호 (성산동 제일성모메디칼센터),02-333-4365
한빛내과의원,3407,서울특별시 은평구 진흥로1길 23 2층 (역촌동),02-356-7585
굿모닝의원,7948,서울특별시 양천구 목동중앙본로 113 2층 (목동),02-6080-1316
신동현내과의원,8859,서울특별시 관악구 난향길 4 2층 (신림동),02-867-7588
제일엔도내과의원,5248,서울특별시 강동구 올림픽로 665,02-487-7755
연세박내과의원,3708,서울특별시 서대문구 연희로 115 2층 (연희동),02-3143-7581
종로위브의원,3150,서울특별시 종로구 삼봉로 81 2층 205호 (수송동 두산위브파빌리온),02-723-7585
서울아산샘내과의원,5768,서울특별시 송파구 오금로 505 (거여동 401호),02-431-0075
참조은의원,1048,서울특별시 강북구 노해로 87 (수유동),02-993-1515
연세학문외과의원,3396,서울특별시 은평구 통일로 741 3층 (대조동),02-387-6427
정재면내과의원,8212,서울특별시 구로구 경인로 565 삼영빌딩 (구로동),02-2675-0876
서울봄내과의원,8095,서울특별시 양천구 목동서로 349 301호 (신정동 센트럴프라자),02-2650-8875
관악하나가정의학과의원,8831,서울특별시 관악구 쑥고개로 86 2층 (봉천동),02-874-7500
우리가정의학과의원,2864,서울특별시 성북구 삼선교로10길 37 지상2층 (삼선동2가),02-743-4735
상암고려가정의학과의원,3918,서울특별시 마포구 월드컵북로 502 204 205호 (상암동 월드컵파크프라자),02-373-7515
미래의원,4529,서울특별시 중구 남대문로 18 (남대문로3가),
정진내과의원,2214,서울특별시 중랑구 사가정로 401,02-434-7553
수내과의원,4615,서울특별시 중구 장충단로 197 1층 지하1층 (쌍림동 수정빌딩),02-582-1122
늘편한내과의원,3423,서울특별시 은평구 갈현로 8 3층 (신사동),02-383-9138
이연세내과의원,5351,서울특별시 강동구 양재대로116길 50 (길동),02-470-8114
다미내과의원,5510,서울특별시 송파구 올림픽로35길 123 2층 206호 (신천동 향군타워),
서울삼성내과의원,7540,서울특별시 강서구 양천로 713 2층 (염창동 대영빌딩),02-3663-1177
중계윌내과의원,1743,서울특별시 노원구 한글비석로 253 세신프라자빌딩 401호 402호 405호 (중계동),02-933-8255
한사랑의원,1100,서울특별시 강북구 인수봉로 142 (수유동 수유동 근생빌딩),02-945-5050
연세베스트의원,8862,서울특별시 관악구 난곡로 53 403호 (신림동 관악산휴먼시아상가),02-867-9119
서울의원,1005,서울특별시 강북구 삼양로 613 2층 (우이동),02-997-6600
동아의원,1853,서울특별시 노원구 동일로197길 21 3층 (공릉동 우성빌딩),02-962-9240
신일가정의원,2146,서울특별시 중랑구 면목로 419,02-438-0675
행복한의원,7550,서울특별시 강서구 화곡로68길 102 101 지103외1호 (등촌동),02-3660-7779
맘편한내과의원,2860,서울특별시 성북구 동소문로 34 지상4 5층 (동소문동3가 연진빌딩),02-953-7537
기쁨내과의원,3985,서울특별시 마포구 연희로 5 1층 (동교동),02-3143-7575
더맑은내과의원,4104,서울특별시 마포구 신촌로 162 캠프21 오피스텔 1층 (대흥동),02-312-7400
소망연합의원,2134,서울특별시 중랑구 겸재로9길 53,02-496-0567
덕제내과의원,2032,서울특별시 중랑구 공릉로 59,02-972-7878
준앤민닥터포유의원,5699,서울특별시 송파구 양재대로 932 업무동 5층 8 9 10 10-2호 (가락동),02-423-7575
종로낙원의원,3133,서울특별시 종로구 삼일대로 434 2층 (낙원동),02-3675-3371
속편안내과의원,2076,서울특별시 중랑구 봉화산로 194 7층 707호 (신내동 신아타운),02-3421-2211
중앙내과의원,6979,서울특별시 동작구 서달로 166 2층 (흑석동 덕봉빌딩),02-815-5385
수내과의원,3670,서울특별시 서대문구 증가로 150 3층 (남가좌동),02-303-7505
서울진내과의원,7694,서울특별시 강서구 강서로 242 강서힐스테이트 단지내상가 302 303호 (화곡동),02-2607-8875
아름드리가정의원,8720,서울특별시 관악구 봉천로 281 2층 (봉천동),02-858-2828
김앤유이비인후과가정의학과연합의원,3302,서울특별시 은평구 진관4로 37 820동 114 115호 (진관동 롯데캐슬),02-383-5511
삼성프렌드의원,2872,서울특별시 성북구 보문로 93 2층 (보문동5가),02-927-1010
연세거평의원,6121,서울특별시 강남구 봉은사로 129 지하1층 (논현동 거평타운),02-518-0123
양우석신경과의원,1620,서울특별시 노원구 동일로 1529 2층 (상계동 세일빌딩),
연세예일의원,3394,서울특별시 은평구 서오릉로 138 2층 (대조동),02-357-6867
삼성편한내과의원,8812,서울특별시 관악구 신림로 135 (신림동 2층),02-857-9911
연세의원,8320,서울특별시 구로구 도림로 29 101 201호 (구로동),02-838-6421
365서울연합의원,2066,서울특별시 중랑구 망우로 463 2층 (망우동),02-432-7580
김재연내과의원,8656,서울특별시 금천구 금하로 763 201호 (시흥동 벽산2차 중심상가),
가족애내과의원,5091,서울특별시 광진구 뚝섬로 558 2층 (자양동),02-455-2859
상암선내과의원,3925,서울특별시 마포구 월드컵북로 402 3층 322호 (상암동 KGIT상암센터),02-6393-5540
로하스가정의학과의원,4426,서울특별시 용산구 이촌로 264 (이촌동 삼익아파트),02-790-7470
전자랜드의원,4372,서울특별시 용산구 청파로 74 A45호 (한강로3가 전자랜드),02-704-9494
늘푸른연세의원,5078,서울특별시 광진구 뚝섬로27길 65 2층 (자양동),02-461-2598
강동서울의원,5355,서울특별시 강동구 천호대로 1119 (길동),02-488-1190
주민내과의원,5070,서울특별시 광진구 뚝섬로 533 3층 (화양동),02-498-4353
서울가정의학과의원,4514,서울특별시 중구 서소문로 138 1층 (태평로2가 대한일보사빌딩),02-755-9955
연세우리내과의원,3394,서울특별시 은평구 서오릉로 140 (대조동),02-357-8279
연세태산내과의원,7635,서울특별시 강서구 수명로 68-11 3층 301~303호 (내발산동 발산타워),02-2667-8275
르셀크리닉의원,4401,서울특별시 용산구 한남대로21길 17 신화빌딩 3층 (한남동),02-797-1797
강남훈내과의원,5101,서울특별시 광진구 뚝섬로56길 46 2층 (자양동 근정빌딩),02-3437-7582
우리내과의원,8628,서울특별시 금천구 시흥대로 214 (시흥동 비즈메드),02-892-7576
서울정가정의학과의원,1707,서울특별시 노원구 덕릉로73길 18 4층 (중계동),
상계심내과의원,1607,서울특별시 노원구 동일로 1677,02-931-2525
이성호가정의학과의원,3112,서울특별시 종로구 숭인동길 21 가동 201호 (숭인동 청계현대힐스테이트 상가),02-921-2500
훈훈한내과의원,5351,서울특별시 강동구 양재대로 1488 (길동),02-484-7600
동동가정의학과의원,1384,서울특별시 도봉구 방학로 167 4층 (방학동),02-956-0415
강동김내과의원,5395,서울특별시 강동구 풍성로 178 (성내동),02-479-0075
연세지아이내과의원,6069,서울특별시 강남구 학동로 419 2층 (청담동),02-3445-4196
서호종의원,2773,서울특별시 성북구 화랑로 201 지상1 2층 (장위동),02-909-2953
류마내과의원,5339,서울특별시 강동구 천호대로 1099 5층 502호 (천호동),
가락한솔의원,5699,서울특별시 송파구 양재대로 932 관리업무동 5층 505호 (가락동 가락동 농수산물도매시장),02-6978-3456
365열린내과의원,1790,서울특별시 노원구 한글비석로 77 3층 (하계동),02-976-3658
하나내과의원,3306,서울특별시 은평구 진관2로 19 휴먼프라자 501호,02-356-0022
365류마고내과의원,5119,서울특별시 광진구 광나루로56길 63 501 502호 (구의동 프라임프라자),
좋은내과의원,5632,서울특별시 송파구 백제고분로48길 17 (방이동),02-415-3919
서울ND(엔디)의원,6100,서울특별시 강남구 선릉로 641 3층 302 303호 (논현동),02-3443-9920
아야알러리스가정의학과의원,7788,서울특별시 강서구 마곡중앙로 161-17 보타닉파크타워 310 311호 (마곡동),02-2659-6117
서울가정의학과의원,5352,서울특별시 강동구 양재대로 1466 (길동),02-474-8281
강남원의원,6373,서울특별시 강남구 자곡로 180 강남유탑유블레스 1층 109 109-2호 (자곡동),02-6927-1655
임성준신경외과의원,5117,서울특별시 광진구 구의강변로 106 (구의동 삼성쉐르빌 2층),02-454-5788
연세가족의원,7532,서울특별시 강서구 양천로59길 46 106호 (가양동 대일빌딩),02-3665-1977
아름다운신경과의원,5295,서울특별시 강동구 양재대로 1596,02-472-7168
연세메디플러스의원,2196,서울특별시 중랑구 용마산로 328 2층 (면목동),02-433-0545
우리사랑내과의원,3355,서울특별시 은평구 통일로 750 2층 (불광동 경일빌딩),02-354-0557
참서울내과의원,1331,서울특별시 도봉구 마들로 650 (방학동 도봉월드빌딩 104-3 105-3 105-4 106-3 106-4),
서울우리내과의원,1211,서울특별시 강북구 숭인로 63 3층 (미아동),02-988-9800
봄가정의학과의원,4359,서울특별시 용산구 원효로 51 (산천동 삼성테마트 202호),02-719-1191
킴스의원,5773,서울특별시 송파구 오금로 518 (거여동 2.4.5.6 층),02-402-6555
우리의원,3097,서울특별시 종로구 창신길 47 2층 (창신동),02-741-7750
신내과의원,1233,서울특별시 강북구 오패산로 130 (미아동 동명빌딩),02-986-0534
김효철이상훈내과의원,5538,서울특별시 송파구 올림픽로 509 (풍납동 J빌딩 302호),02-478-0300
밝은내일내과의원,8628,서울특별시 금천구 시흥대로 230 3층 303호 (시흥동 서평빌딩),02-6933-0003
강북삼성의원,2781,서울특별시 성북구 화랑로40길 54 지상3 4층 (석관동 영원빌딩),02-965-6900
우리성심의원,8545,서울특별시 금천구 시흥대로 436 3 4층 (독산동),02-852-8575
신길연세365의원,7383,서울특별시 영등포구 도신로 120 신영빌딩 2~3층 (신길동),02-834-8275
왕소아과의원,2104,서울특별시 중랑구 중랑역로 51 4층 (중화동),02-493-3866
건강한내과의원,1350,서울특별시 도봉구 도봉로 729 2층 (방학동),02-956-7588
류운석내과의원,7281,서울특별시 영등포구 선유로 63 301-2호 (문래동6가 동신타워),02-2635-8500
조삼권내과의원,8034,서울특별시 양천구 지양로 78 2층 (신월동 우성상가),02-2652-1133
스마일내과의원,1034,서울특별시 강북구 삼양로 433 2 3층 (수유동),02-900-3375
대한민국의원,2210,서울특별시 중랑구 면목로 352 (면목동),02-436-0111
늘건강내과이비인후과의원,6956,서울특별시 동작구 상도로 174 2 3층 (상도동),02-822-3375
림스내과의원,7434,서울특별시 영등포구 여의대방로 83 2~3층 (신길동),02-836-8882
정릉성모내과의원,2718,서울특별시 성북구 보국문로 14 3층 (정릉동),02-910-8858
엘림의원,8565,서울특별시 금천구 독산로50길 84 2층 (시흥동),02-892-8275
김진의원,4010,서울특별시 마포구 망원로 78 (망원동),02-333-2967
힘내라내과의원,4794,서울특별시 성동구 아차산로 113 삼진빌딩 3층 301호 302호 (성수동2가),02-2242-8525
참좋은내과의원,8309,서울특별시 구로구 구로동로 147 MEDI FLOWER 147 3층 (구로동),02-839-0075
엔트리의원,2088,서울특별시 중랑구 동일로 786 2층 (중화동),02-433-7510
참조은내과의원,2436,서울특별시 동대문구 망우로 123 2층 (휘경동 휘경메디컬프라자),
삼성드림의원,4380,서울특별시 용산구 이촌로 103 2층 (한강로3가),02-796-7178
서울삼성내과의원,1620,서울특별시 노원구 동일로 1547 3층 (상계동 시몬빌딩),02-939-2227
중계튼튼의원,1777,서울특별시 노원구 동일로207길 18 206호 (중계동 중계그린아파트 B상가 ),02-973-0173
서현의료소비자생활협동조합중랑제일의원,2140,서울특별시 중랑구 동일로 680 2 3층 (면목동),02-437-7587
서영탁내과의원,7951,서울특별시 양천구 등촌로 188 그라비스 1층 102호 (신월동),02-6346-6163
Dr홍연합의원,5537,서울특별시 송파구 토성로 58 (풍납동 도원빌딩 2층),02-483-0075
강변내과의원,3442,서울특별시 은평구 가좌로 271 3 4층 (신사동),02-375-9300
시민내과의원,4112,서울특별시 마포구 대흥로 192-1 (대흥동),02-716-2158
고려중앙의원,2023,서울특별시 중랑구 신내로21길 6 210호 (묵동 신내두산아파트상가동),
서울하나내과의원,2788,서울특별시 성북구 돌곶이로 37 (석관동),
살림의료복지사회적협동조합살림의원,3412,서울특별시 은평구 서오릉로 149 2층 좌측호 (구산동 세웅그룹빌딩),02-6014-9949
강서연세내과의원,7604,서울특별시 강서구 양천로 72 403호 404호 (방화동 해성빌딩),02-2662-7582
이호영내과의원,4033,서울특별시 마포구 양화로 115 3층 (서교동 천지빌딩),02-322-7217
연세유내과의원,4170,서울특별시 마포구 도화길 32 201호 (도화동 삼성아파트상가동),02-701-5131
서울메디칼의원,5722,서울특별시 송파구 동남로 317 3층 (오금동),02-401-7005
속튼튼내과의원,2624,서울특별시 동대문구 장한로25길 2 4층 (장안동),02-3394-8175
미래아이내과의원,3709,서울특별시 서대문구 수색로 100 상가동 1층 105 106호 (북가좌동 DMC래미안이편한세상),02-309-7582
서울엠비(MB)내과의원,5096,서울특별시 광진구 능동로 18 (자양동 이튼타워 3차 113호 114호 116호 117호),02-466-9100
조은가정의학과의원,8306,서울특별시 구로구 가마산로 244 동헌빌딩 2층일부 (구로동),02-859-6789
김앤박내과의원,1751,서울특별시 노원구 동일로 1392 3층 (상계동 한일빌딩),02-930-7601
우리의원,1684,서울특별시 노원구 상계로27길 7 3 4층 (상계동 중앙빌딩),02-3392-7575
유정의원,1668,서울특별시 노원구 한글비석로 416 2 3층 (상계동 상계의원),02-937-0119
박용현내과의원,2189,서울특별시 중랑구 용마산로 438 3층 (면목동 동원빌딩),02-435-8855
삼성드림의원,8049,서울특별시 양천구 신정이펜2로 20 4층 403호 404호 (신정동 서남프라자1),02-2699-0011
연세큰숲내과의원,3358,서울특별시 은평구 통일로 742 한화빌딩 4 5층 일부호 (불광동),02-2038-8270
열린문가정의원,1469,서울특별시 도봉구 덕릉로 259 (창동),
연세정인내과의원,8328,서울특별시 구로구 남부순환로97길 3 KS프리미어빌딩 501호 (개봉동),02-2612-8700
서울신내의원,2058,서울특별시 중랑구 용마산로 622,02-3422-1911
공덕아산내과의원,4206,서울특별시 마포구 마포대로 204 마포에스케이허브블루 203 204호 (아현동),02-393-7582
용산의원,4321,서울특별시 용산구 한강대로 295 (갈월동),02-718-1035
쌍문동강내과의원,1387,서울특별시 도봉구 해등로 218 (쌍문동),02-998-3600
강한내과의원,3703,서울특별시 서대문구 증가로 9 2층 (연희동),02-3143-5777
메디휴제일내과의원,7721,서울특별시 강서구 화곡로 206 2층 (화곡동),02-2065-1566
아산센트럴의원,2225,서울특별시 중랑구 동일로92길 40 2층 206~207호 (면목동 사가정센트럴아이파크),02-2207-7770
비타민의원,4954,서울특별시 광진구 천호대로 671 파크타운 204호 (구의동),02-446-8881
박석준성모내과의원,7442,서울특별시 영등포구 시흥대로 675 2층 (대림동 삼성YJ그랜드빌딩),02-832-7582
연세속편안내과의원,3462,서울특별시 은평구 은평로 170 302호 (응암동 상현빌딩),02-386-7588
목동연세가정의학과의원,7975,서울특별시 양천구 목동중앙본로 68-1 2층 (목동),02-2644-3650
신우내과의원,2086,서울특별시 중랑구 망우로 377 성환빌딩 2 4층 (상봉동),02-491-0768
박정의내과의원,6099,서울특별시 강남구 선릉로 669 (논현동 2층),
아리랑가정의원,2826,서울특별시 성북구 아리랑로 89 201호 202호 (돈암동 일신건영상가),02-922-5575
삼성드림내과의원,6921,서울특별시 동작구 만양로 5-1 2층 (상도동),
참빛소아청소년과의원,2169,서울특별시 중랑구 상봉로 118 4층 (망우동 이마트),02-434-3646
김환열내과의원,7370,서울특별시 영등포구 도신로 87 5층 (도림동),02-831-5505
푸르메디의원,5701,서울특별시 송파구 오금로 306 2층 1호 (가락동 가락스타클래스),02-401-3330
더블유의원,1455,서울특별시 도봉구 도봉로 468 (창동 흥일빌딩),02-990-6868
초이스내과신경과의원,4428,서울특별시 용산구 이촌로 352 (용산동6가),
서울의원,2091,서울특별시 중랑구 상봉중앙로1길 32,02-438-5975
내일내과의원,8644,서울특별시 금천구 금하로 720 에벤에셀프라자 304 305 307 308호 (시흥동),
연세이현철내과의원,4058,서울특별시 마포구 서강로 133 4층 (노고산동 병우빌딩),02-337-7570
건강드림의원,3303,서울특별시 은평구 진관4로 77 은평뉴타운 상림마을 702동 114호,02-382-5575
조은성모의원,3328,서울특별시 은평구 통일로87길 12-1 (갈현동),02-385-0413
참내과의원,1779,서울특별시 노원구 동일로203가길 29 291호 (중계동 브라운스톤 중계),02-977-7588
김영찬내과의원,6019,서울특별시 강남구 도산대로 333 (신사동 케이플러스타워 5층),
상일에이치(H)내과의원,5287,서울특별시 강동구 상일로 74 2층 (상일동 고덕리엔파크3단지아파트),02-481-7575
더건강내과의원,4012,서울특별시 마포구 월드컵로13길 34 3층 (망원동 두드림빌딩),02-338-8275
서울아산탑내과의원,5639,서울특별시 송파구 마천로 25 민성빌딩 2층 (방이동),02-412-5800
닥터유이비인후과의원,4427,서울특별시 용산구 이촌로 200 (이촌동),02-6271-2525
서울연합의원,1668,서울특별시 노원구 한글비석로 410 예공빌딩 2층 전체호 (상계동),02-933-3810
서울손인내과의원,7010,서울특별시 동작구 사당로 224 3층 (사당동),02-584-8875
서울탑의원,3412,서울특별시 은평구 서오릉로 157 201호 (구산동),02-351-9114
서울굿모닝내과의원,2161,서울특별시 중랑구 면목로 418,02-438-2525
좋은서울의원,2133,서울특별시 중랑구 동일로101길 63 202 203 204호 (면목동 면목한신아파트 상가),02-491-8255
연세우리내과의원,8774,서울특별시 관악구 관천로 17 (신림동),02-858-0019
조이내과의원,3306,서울특별시 은평구 진관2로 15-46 603호 (진관동 메트로프라자),02-358-5288
세이브내과의원,8849,서울특별시 관악구 난곡로 214 2~3층 (신림동 금정빌딩),02-869-8341
열린가족의원,2162,서울특별시 중랑구 겸재로 229 2층 (면목동 농협),02-435-8275
이덕기내과의원,7420,서울특별시 영등포구 디지털로 343 3층 (대림동),02-834-8875
예일성모내과의원,7060,서울특별시 동작구 보라매로19길 8 5 6층 (신대방동),02-813-0075
정다운가정의학과의원,1402,서울특별시 도봉구 해등로16길 26 (창동 타임프라자),
노충희비뇨기과의원,1767,서울특별시 노원구 동일로 1341 3층 1 2호 (상계동 장우빌딩),02-933-6133
연세류내과의원,3712,서울특별시 서대문구 수색로2길 16-1 1 2층 (남가좌동),02-303-6318
함춘내과의원,7984,서울특별시 양천구 목동서로 37 201호 (목동 하이베라스),02-2646-6318
하나수의원,8655,서울특별시 금천구 금하로 793 2층 201호 (시흥동 벽산5단지아파트),02-894-1189
백세내과의원,3396,서울특별시 은평구 불광로 17 대릉빌딩 3 4층,02-354-1088
연세윤내과의원,3306,서울특별시 은평구 진관3로 20 4 5층 (진관동 sw메디컬빌딩),02-351-9600
서울삼성의원,5671,서울특별시 송파구 가락로 214 2층 201호 (송파동 창우빌딩),02-422-7227
한걸음가정의학과의원,1366,서울특별시 도봉구 삼양로 580-4 2층 (쌍문동 노스블릭),02-996-9110
조은내과의원,6953,서울특별시 동작구 상도로 69 2층 201호 (대방동 상원빌딩),02-813-8275
고려튼튼외과의원,8309,서울특별시 구로구 구로동로 153 이스턴프라자 3~5층 (구로동),02-857-8511
우리들연세내과의원,2038,서울특별시 중랑구 동일로 890 5층 (묵동),02-979-8297
기분좋은연세365의원,3457,서울특별시 은평구 응암로 223 2층 3층 (응암동),02-372-0365
박석규내과의원,7417,서울특별시 영등포구 도림로 144 1층 200호 (중계동 삼창타워프라자),02-938-1700
튼튼내과의원,3106,서울특별시 종로구 종로 293 5층 (창신동 하나저축은행),02-3675-7582
맑은서울의원,7599,서울특별시 강서구 방화대로 294 마곡더블유타워 5층 511호 (마곡동),02-2665-7533
강인구내과의원,8858,서울특별시 관악구 난곡로35길 2 2층 (신림동),02-852-3517
서울W내과의원,8787,서울특별시 관악구 관악로 165 (봉천동 양지빌딩),02-871-5600
진내과의원,1783,서울특별시 노원구 동일로204가길 34 306호 (중계동 씨앤미복합빌딩),02-949-8278
서울WE좋은내과의원,8392,서울특별시 구로구 시흥대로 551 광희빌딩 3층 (구로동),02-3281-8787
위례별가정의학과의원,5852,서울특별시 송파구 위례광장로 136 상가5동 202 203 204호 (장지동 위례아이파크),02-443-8275
공릉의원,1837,서울특별시 노원구 공릉로 147 2층 (공릉동 기업은행 공릉동지점),02-974-2588
김미진내과의원,6216,서울특별시 강남구 역삼로 306 4층 404~406호 (역삼동 개나리래미안아파트),02-568-1312
아이엠유의원,3504,서울특별시 은평구 수색로 175 0004호 (증산동 6호선 디지털미디어시티역),02-2088-7525
박종오내과의원,7526,서울특별시 강서구 양천로57길 16 2층 (가양동 영보빌딩),02-3662-5797
서울베스트의료의원,4570,서울특별시 중구 다산로46길 17 2층 (흥인동),02-2135-1357
정다운내과의원,2121,서울특별시 중랑구 망우로 214 5층 (상봉동 우도빌딩),02-2207-8877
햇살드림가정의학과의원,7600,서울특별시 강서구 공항대로 103 2층 204호 (마곡동),02-2666-6663
고려H내과의원,5044,서울특별시 광진구 아차산로 373 3층 (구의동 원이빌딩),02-3437-3337
여의도의원,7338,서울특별시 영등포구 국제금융로7길 15 2층 2025호 (여의도동 여의상가),02-784-0705
이한규내과의원,8708,서울특별시 관악구 봉천로 227-0 201 202호 (봉천동 보라매샤르망),02-6951-1577
성심내과의원,6288,서울특별시 강남구 삼성로 150 201호 (대치동 한보미도맨션),02-556-6668
꽃길의원,3129,서울특별시 종로구 대학로 1 경인빌딩 201호 (종로5가),02-747-4230
강동한내과의원,5354,서울특별시 강동구 성안로 156 7층 (길동 우주빌딩),02-488-0878
수가정의학과의원,4974,서울특별시 광진구 아차산로 502 2층 205호 (광장동 진넥스 오딧세이),02-3436-1117
발산연세내과의원,7803,서울특별시 강서구 강서로 385 5층 508 509 513호(마곡동 우성에스비타워) (마곡동),02-2668-7575
류마앤정내과의원,7297,서울특별시 영등포구 당산로 34 3층 303호 (문래동3가 로데오왁상가),02-2675-8113
삼성바른내과의원,3462,서울특별시 은평구 은평로 136 은경빌딩 2 3층 (응암동),02-354-0046
윤홍선내과의원,2860,서울특별시 성북구 동소문로 10 4층 가호 (동소문동2가 카프리빌딩),02-765-3430
참외과 참소아청소년과의원,5550,서울특별시 송파구 백제고분로 463 302호303호 (방이동),02-6952-0810
충정로연세내과의원,4503,서울특별시 중구 서소문로 12 (중림동 최두균한의원),02-365-1175
아크로내과의원,7247,서울특별시 영등포구 국회대로54길 10 305 306호 (영등포동7가 아크로타워스퀘어),02-2679-8275
연세내과의원,3358,서울특별시 은평구 불광로 59 4호 2층,02-6052-0475
다정의원,7516,서울특별시 강서구 양천로 31 2층 (방화동),02-2663-2030
우리들가정의원,4338,서울특별시 용산구 신흥로 53 (용산동2가),
우리동네30분의원,4136,서울특별시 마포구 백범로 99 승행빌딩 4층 (대흥동),
성모 척편한 신경외과의원,2238,서울특별시 중랑구 면목로 305 2층 (면목동 성일빌딩),02-2208-2119
은평밝은내과의원,3461,서울특별시 은평구 은평로 121 5 10층 (응암동),02-357-1215
삼성바른내과의원,7705,서울특별시 강서구 강서로 231 세란빌딩 2층 (내발산동),02-2606-8275
정가정의학과의원,1615,서울특별시 노원구 수락산로 232 미네르바빌딩 105호,02-933-3475
상계맑은내과의원,1756,서울특별시 노원구 동일로 1366 5층,02-930-7616
여의도바른내과의원,7328,서울특별시 영등포구 여의나루로 50 한국교직원공제회관 지하1층 (여의도동),02-761-8275
정민내과의원,7603,서울특별시 강서구 양천로14길 23 2층 (방화동),02-2665-0717
행복드림내과의원,7392,서울특별시 영등포구 신풍로 93 메트하임 3층 (신길동),02-832-3300
속속내과의원,5652,서울특별시 송파구 양재대로 1164 홍일빌딩 6층 (오금동),02-408-7555
마들수내과의원,1678,서울특별시 노원구 한글비석로 471 (주)맥스아웃 상계빌딩 4층 (상계동),02-6314-7575
서울굿모닝내과의원,5064,서울특별시 광진구 뚝섬로 595 2층 (자양동),02-452-3434
우리의원,2718,서울특별시 성북구 서경로 27 예닮빌딩 2층 (정릉동),02-942-6800
아산한빛의원,5112,서울특별시 광진구 자양로 42 3층 (자양동),02-444-5764
김의원,3724,서울특별시 서대문구 연희로 124 (연희동),02-337-3119
프라임성모내과의원,2069,서울특별시 중랑구 신내로14길 8 원빌딩 4(상가3층)층 (신내동),02-3422-5551
